# Constructed from biom file
#OTU ID	oneuL1201	oneuL1202	oneuL120a1.2	oneuL120a1	oneuL120a2.2	oneuL120a2	oneuL120e1	oneuL1251	oneuL1252	oneuL125a1.2	oneuL125a1	oneuL125c1	oneuL131a1	oneuL1401	oneuL1402.2	oneuL1402	oneuL1403	oneuL1404.2	oneuL1404	oneuL2181	oneuL2191	oneuL2192	oneuL2201	oneuL2202	oneuL2421	oneuL2422	oneuL2431	oneuL2451	oneuL2461	oneuL3031	oneuL3041	oneuL304a1	oneuL304b1	oneuL3081	oneuL3082	oneuL308a1	oneuL3181	oneuL3182	oneuL3301.2	oneuL3301	oneuL330a1	oneuL3441	oneuL3461	oneuL3462	oneuLb401	oneuLcontroL1	oneuLcontroL2	oneuLh2411	oneuLH2412.2	oneuLh2412	oneuLs2101.2	oneuLs2101	oneuLs2301	oneuLs2401
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__	0	3	4	0	0	3	6	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Dermabacter	0	8	9	0	0	0	9	18	27	19	0	0	59	0	0	9	0	0	0	0	29	0	14	5	0	45	0	23	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	3	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae;g__Dermacoccus	34	31	263	49	7	13	200	94	172	0	0	162	41	29	37	35	0	0	0	37	279	27	82	17	14	86	18	0	27	0	14	34	0	12	8	34	32	23	26	45	27	0	7	0	2	0	0	24	21	22	73	66	13	15
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	5	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	6	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Dermatophilus	0	0	0	4	0	0	0	25	0	0	0	0	0	0	0	6	8	6	0	0	0	0	0	2	0	11	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	20	0	10
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;g__	0	0	0	0	0	0	0	11	0	0	0	13	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;g__Dietzia	0	3	71	26	8	0	97	52	52	6	0	27	0	205	2	9	5	0	0	0	40	9	14	2	0	19	7	11	3	0	0	4	0	4	0	0	0	0	8	0	4	0	6	0	0	14	0	3	3	2	4	0	2	8
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__	3	7	8	56	18	14	21	6	23	6	0	22	56	19	137	275	49	56	17	60	41	116	65	39	0	47	6	34	13	0	0	26	44	154	146	81	85	27	5	39	43	4	53	99	28	0	0	82	56	70	84	80	75	147
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__Frankia	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	6
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__	14	15	43	52	98	51	70	6	78	9	0	53	55	45	78	85	58	53	22	73	94	105	181	94	82	56	9	0	86	0	116	42	16	101	83	83	57	44	68	84	93	94	95	130	169	6	0	137	130	138	99	84	80	206
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus	0	0	0	0	0	0	0	0	3	4	0	119	7	0	4	70	0	5	0	0	4	9	2	0	0	0	7	0	5	0	3	0	0	11	3	0	9	11	0	15	12	0	14	3	75	0	0	11	0	3	21	20	14	9
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Modestobacter	0	10	30	35	47	39	45	7	107	4	0	156	36	15	73	155	122	69	69	44	36	136	90	79	27	119	36	11	48	0	48	44	14	137	83	43	79	37	37	85	78	60	87	156	104	0	2	111	67	84	96	82	143	172
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Gordoniaceae;g__Gordonia	0	0	17	3	0	0	19	0	6	89	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	8	35	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__	0	44	111	221	83	94	151	142	115	266	0	142	103	22	23	73	7	41	81	105	117	152	143	95	31	143	29	102	43	0	45	71	34	138	110	110	118	101	70	97	98	81	94	95	92	42	0	89	111	97	216	159	79	176
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Arsenicicoccus	0	14	7	4	6	0	2	0	0	8	0	3	4	0	4	21	16	4	0	8	0	50	19	3	0	0	0	0	4	0	0	2	0	22	0	13	14	0	6	2	4	0	8	21	7	14	0	16	8	5	56	64	0	11
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Janibacter	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	21	0	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Knoellia	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Kytococcus	13	6	32	0	0	0	51	0	37	0	0	36	7	0	7	0	0	0	0	0	79	11	15	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	0	9	7	2	0	0	0	0	0	0	0	0	14	0	6	7
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Phycicoccus	32	4	12	35	20	0	0	0	35	0	0	0	20	0	0	0	15	37	0	0	0	29	0	28	0	0	6	14	0	0	19	0	0	35	30	0	0	0	0	0	19	17	0	21	19	0	0	32	0	20	0	59	0	53
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Serinicoccus	0	0	2	0	0	0	10	90	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	5	0	15	0	0	0	0	0	0	0	0
